
--------------------------------------------------------------------------------

EXPERIMENT 3

--------------------------------------------------------------------------------
                         variable value   n    pct
1                        bracelet     1 109 61.932
2                        bracelet     2  67 38.068
3                        bracelet    NA 400     NA
4               bracelet_received     1  83 88.298
5               bracelet_received     2  11 11.702
6               bracelet_received    NA 482     NA
7                   bracelet_worn     1  25 30.120
8                   bracelet_worn     2  58 69.880
9                   bracelet_worn    NA 493     NA
10            feelings_compassion     1   8  3.077
11            feelings_compassion     2   9  3.462
12            feelings_compassion     3  56 21.538
13            feelings_compassion     4  80 30.769
14            feelings_compassion     5 107 41.154
15            feelings_compassion    NA 316     NA
16           feelings_involvement     1  10  3.846
17           feelings_involvement     2  23  8.846
18           feelings_involvement     3  79 30.385
19           feelings_involvement     4  92 35.385
20           feelings_involvement     5  56 21.538
21           feelings_involvement    NA 316     NA
22              feelings_sympathy     1   8  3.077
23              feelings_sympathy     2   9  3.462
24              feelings_sympathy     3  56 21.538
25              feelings_sympathy     4  80 30.769
26              feelings_sympathy     5 107 41.154
27              feelings_sympathy    NA 316     NA
28         feelings_understanding     1   9  3.462
29         feelings_understanding     2  16  6.154
30         feelings_understanding     3  36 13.846
31         feelings_understanding     4  79 30.385
32         feelings_understanding     5 120 46.154
33         feelings_understanding    NA 316     NA
34                feelings_warmth     1  10  3.846
35                feelings_warmth     2  24  9.231
36                feelings_warmth     3  89 34.231
37                feelings_warmth     4  77 29.615
38                feelings_warmth     5  60 23.077
39                feelings_warmth    NA 316     NA
40                statement_fault     0   4  1.538
41                statement_fault     1  23  8.846
42                statement_fault     2  47 18.077
43                statement_fault     3  87 33.462
44                statement_fault     4  99 38.077
45                statement_fault    NA 316     NA
46 statement_prevention_important     1   7  2.692
47 statement_prevention_important     2  13  5.000
48 statement_prevention_important     3  25  9.615
49 statement_prevention_important     4 109 41.923
50 statement_prevention_important     5 106 40.769
51 statement_prevention_important    NA 316     NA
52   statement_protect_vulnerable     1  18  6.923
53   statement_protect_vulnerable     2  27 10.385
54   statement_protect_vulnerable     3  27 10.385
55   statement_protect_vulnerable     4  95 36.538
56   statement_protect_vulnerable     5  93 35.769
57   statement_protect_vulnerable    NA 316     NA
58  statement_willingness_protect     1  47 18.077
59  statement_willingness_protect     2  29 11.154
60  statement_willingness_protect     3   8  3.077
61  statement_willingness_protect     4  54 20.769
62  statement_willingness_protect     5 122 46.923
63  statement_willingness_protect    NA 316     NA


        variable   n m sd  mdn    irq25    iqr75
1     FEELINGS 0 260 4  1 4.00 3.200000 4.600000
2   STATEMENTS 0 260 4  1 3.75 3.000000 4.250000
3 STATEMENTS 0 2 260 4  1 4.00 3.333333 4.666667
